stock_code,total_number_of_shares,market_value,stock_name,listed_market,wel_delete,enterprise_name,enterprise_id,update_time,gics_code,gics_code4
000059.SZ,1587446717.0,12699573743.779999,华锦股份,1,0,北方华锦化学工业股份有限公司,26531,2021-05-13 00:00:00,151010,15101010
000060.SZ,3492618875.0,17742503886.03,中金岭南,1,0,深圳市中金岭南有色金属股份有限公司,26532,2021-05-13 00:00:00,151040,15104020
000061.SZ,1679823079.0,9978149090.279999,农产品,1,0,深圳市农产品集团股份有限公司,26533,2021-05-13 00:00:00,301010,30101020
000062.SZ,1021798016.0,16399858168.96,深圳华强,1,0,深圳华强实业股份有限公司,26534,2021-05-13 00:00:00,452030,45203030
000063.SZ,4598906936.0,131436760244.02,中兴通讯,1,0,中兴通讯股份有限公司,876,2021-05-13 00:00:00,452010,45201020
000063.SZ,4598906936.0,131436760244.02,中兴通讯,1,0,中兴通讯股份有限公司,876,2021-05-13 00:00:00,0,0
000065.SZ,762856976.0,6148627228.709999,北方国际,1,0,北方国际合作股份有限公司,26535,2021-05-13 00:00:00,201030,20103010
000066.SZ,3090581228.0,36221611995.61,中国长城,1,0,中国长城科技集团股份有限公司,26536,2021-05-13 00:00:00,452020,45202030
000068.SZ,1010513721.0,2647545950.3199997,华控赛格,1,0,深圳华控赛格股份有限公司,26537,2021-05-13 00:00:00,451020,45102010
000069.SZ,8192279072.0,70617445608.15,华侨城A,1,0,深圳华侨城股份有限公司,26538,2021-05-13 00:00:00,253010,25301020
000070.SZ,836398993.0,6164260581.940001,特发信息,1,0,深圳市特发信息股份有限公司,26539,2021-05-13 00:00:00,452010,45201020
000078.SZ,2824297646.0,9517883069.22,海王生物,1,0,深圳市海王生物工程股份有限公司,26540,2021-05-13 00:00:00,352010,35201010
000088.SZ,2253192502.0,12572814165.73,盐田港,1,0,深圳市盐田港股份有限公司,877,2021-05-13 00:00:00,203050,20305020
000089.SZ,2058364951.0,16672756108.17,深圳机场,1,0,深圳市机场股份有限公司,26541,2021-05-13 00:00:00,203050,20305010
000090.SZ,1868545434.0,11547610782.119999,天健集团,1,0,深圳市天健(集团)股份有限公司,26542,2021-05-13 00:00:00,201030,20103010
000096.SZ,519750000.0,4989600000.0,广聚能源,1,0,深圳市广聚能源股份有限公司,26543,2021-05-13 00:00:00,101020,10102030
000099.SZ,605142287.0,3951579138.4,中信海直,1,0,中信海洋直升机股份有限公司,26544,2021-05-13 00:00:00,203010,20301010
000100.SZ,13767916448.0,117578006473.56,TCL科技,1,0,TCL科技集团股份有限公司,26545,2021-05-13 00:00:00,452030,45203015
000150.SZ,966161144.0,4888775392.49,宜华健康,1,0,宜华健康医疗股份有限公司,26546,2021-05-13 00:00:00,351010,35101010
000151.SZ,298344687.0,2240568600.0,中成股份,1,0,中成进出口股份有限公司,26547,2021-05-13 00:00:00,201070,20107010
000153.SZ,324724296.0,2497129840.0,丰原药业,1,0,安徽丰原药业股份有限公司,26548,2021-05-13 00:00:00,352020,35202010
000155.SZ,1271729067.0,18681700000.0,川能动力,1,0,四川省新能源动力股份有限公司,26549,2021-05-13 00:00:00,551010,55101010
000156.SZ,1850535375.0,14304638452.24,华数传媒,1,0,华数传媒控股股份有限公司,26550,2021-05-13 00:00:00,502010,50201030
000157.SZ,8572068115.0,94292749265.92,中联重科,1,0,中联重科股份有限公司,13804,2021-05-13 00:00:00,201060,20106010
000157.SZ,8572068115.0,94292749265.92,中联重科,1,0,中联重科股份有限公司,13804,2021-05-13 00:00:00,0,0
000158.SZ,1759596306.0,12581113594.269999,常山北明,1,0,石家庄常山北明科技股份有限公司,26551,2021-05-13 00:00:00,252030,25203030
000159.SZ,491934495.0,3153300114.0800004,国际实业,1,0,新疆国际实业股份有限公司,26552,2021-05-13 00:00:00,101020,10102030
000166.SZ,25094143574.0,115934943312.8,申万宏源,1,0,申万宏源集团股份有限公司,27800,2021-05-13 00:00:00,402030,40203020
000166.SZ,25094143574.0,115934943312.8,申万宏源,1,0,申万宏源集团股份有限公司,27800,2021-05-13 00:00:00,0,0
000301.SZ,5272932810.0,79146721486.42,东方盛虹,1,0,江苏东方盛虹股份有限公司,26750,2021-05-13 00:00:00,151010,15101010
000333.SZ,6866181019.0,530549807349.6,美的集团,1,0,美的集团股份有限公司,26751,2021-05-13 00:00:00,252010,25201040
000338.SZ,7860070416.0,135193211170.79999,潍柴动力,1,0,潍柴动力股份有限公司,26752,2021-05-13 00:00:00,201040,20104020
000338.SZ,7860070416.0,135193211170.79999,潍柴动力,1,0,潍柴动力股份有限公司,26752,2021-05-13 00:00:00,0,0
000400.SZ,1012935049.0,13299837205.71,许继电气,1,0,许继电气股份有限公司,26753,2021-05-13 00:00:00,201040,20104010
000401.SZ,1416614049.0,20243414772.56,冀东水泥,1,0,唐山冀东水泥股份有限公司,26754,2021-05-13 00:00:00,151020,15102010
000402.SZ,3044451824.0,19667158788.06,金融街,1,0,金融街控股股份有限公司,26755,2021-05-13 00:00:00,601020,60102030
