,gics4,gics4_no
0,25302020,0
1,15104010,1
2,55104010,2
3,30101010,3
4,15104020,4
5,15104025,5
6,20202010,6
7,25301020,7
8,30101020,8
9,15104030,9
10,15103010,10
11,55103010,11
12,20202020,12
13,25301030,13
14,30101030,14
15,15104040,15
16,15103020,16
17,15104045,17
18,25301040,18
19,30101040,19
20,15104050,20
21,20201010,21
22,15102010,22
23,55102010,23
24,45203010,24
25,45203015,25
26,45203020,26
27,15101010,27
28,55101010,28
29,45203030,29
30,20201050,30
31,15101020,31
32,20201060,32
33,15101030,33
34,20201070,34
35,45202030,35
36,15101040,36
37,20305010,37
38,20201080,38
39,15101050,39
40,40102010,40
41,20305020,41
42,45201020,42
43,20305030,43
44,20304010,44
45,40101010,45
46,20304020,46
47,40101015,47
48,30202010,48
49,55105020,49
50,20303010,50
51,30202030,51
52,30201010,52
53,20302010,53
54,25102010,54
55,30201020,55
56,25102020,56
57,30201030,57
58,20301010,58
59,25101010,59
60,25101020,60
61,40204010,61
62,10102010,62
63,50102010,63
64,20107010,64
65,40203010,65
66,10102020,66
67,25504010,67
68,40203020,68
69,10102030,69
70,10101010,70
71,45301010,71
72,25504020,72
73,50101010,73
74,40203030,74
75,10102040,75
76,20106010,76
77,40202010,77
78,10101020,78
79,45301020,79
80,25504030,80
81,20106015,81
82,50101020,82
83,10102050,83
84,25503010,84
85,20106020,85
86,35103010,86
87,25504040,87
88,25503020,88
89,20105010,89
90,25504050,90
91,30302010,91
92,35102010,92
93,25504060,93
94,40201020,94
95,35102015,95
96,25203010,96
97,25502020,97
98,35102020,98
99,40201030,99
100,20104010,100
101,25203020,101
102,40201040,102
103,25501010,103
104,30301010,104
105,20104020,105
106,35101010,106
107,25203030,107
108,25202010,108
109,35101020,109
110,20103010,110
111,25201010,111
112,20102010,112
113,60102010,113
114,25201020,114
115,50203010,115
116,60102020,116
117,25201030,117
118,60102030,118
119,25201040,119
120,20101010,120
121,60102040,121
122,25201050,122
123,50202010,123
124,45103010,124
125,50202020,125
126,45103020,126
127,50201010,127
128,45102010,128
129,50201020,129
130,35203010,130
131,45102020,131
132,60101060,132
133,50201030,133
134,45102030,134
135,50201040,135
136,40301010,136
137,35202010,137
138,40301020,138
139,40301030,139
140,40301040,140
141,15105010,141
142,35201010,142
143,55105010,143
144,25302010,144
145,15105020,145
