,Unnamed: 0,stock_code,industry,start_date,end_date,style,weight
0,18,sh603501,semiconductor,20200901,20210208,largegrowth,0.0024939538262163177
1,21,sh688012,semiconductor,20200901,20210208,largegrowth,0.0005416136742471572
2,16,sh603068,semiconductor,20200901,20210208,largegrowth,0.00010790765270536007
3,20,sh688008,semiconductor,20200901,20210208,largegrowth,0.00046974012022680156
4,128,sz002812,new_material,20200901,20210208,largegrowth,0.004019351048924262
5,374,sh603179,new_material,20200901,20210208,largegrowth,0.000313951709610182
6,266,sh600399,new_material,20200901,20210208,largegrowth,0.001461503014684485
7,103,sz002460,new_material,20200901,20210208,midgrowth,0.011608095770724082
8,185,sz300450,new_material,20200901,20210208,midgrowth,0.013401342324177461
9,182,sz300427,new_material,20200901,20210208,largegrowth,0.0003745387632678574
10,132,sz002850,new_material,20200901,20210208,largegrowth,0.0002846541585155842
11,267,sh600406,new_material,20200901,20210208,largegrowth,0.046111947358400254
12,297,sh600699,new_material,20200901,20210208,midgrowth,0.001894077935759798
13,12,sz000550,new_material,20200901,20210208,largegrowth,0.00044796858714294427
14,842,sh603179,new_energy,20200901,20210208,largegrowth,0.000313951709610182
15,844,sh603186,new_energy,20200901,20210208,largegrowth,6.473763251603269e-05
16,218,sz002460,new_energy,20200901,20210208,midgrowth,0.011608095770724082
17,380,sz300083,new_energy,20200901,20210208,largegrowth,0.0017313105984487775
18,269,sz002709,new_energy,20200901,20210208,smallgrowth,0.0023465338101522452
19,704,sh600699,new_energy,20200901,20210208,midgrowth,0.001894077935759798
20,798,sh601799,new_energy,20200901,20210208,largegrowth,0.0009530603021648063
21,26,sz000550,new_energy,20200901,20210208,largegrowth,0.00044796858714294427
22,511,sz300618,new_energy,20200901,20210208,smallgrowth,0.0005986160053014288
23,296,sz002850,new_energy,20200901,20210208,largegrowth,0.0002846541585155842
24,224,sz300677,medicine,20200901,20210208,largegrowth,0.0015928741196852194
25,35,sz002030,medicine,20200901,20210208,largegrowth,0.005923512955919902
26,282,sh600216,medicine,20200901,20210208,smallvalue,0.0011184551780515594
27,293,sh600436,medicine,20200901,20210208,largegrowth,0.015194263917794396
28,49,sz002332,medicine,20200901,20210208,largegrowth,0.00042547689738351346
29,438,sh603939,medicine,20200901,20210208,midgrowth,0.0018160490168935962
30,210,sz300595,medicine,20200901,20210208,midgrowth,0.004344012301559769
31,211,sz300601,medicine,20200901,20210208,largegrowth,0.0016913157374664233
32,177,sz300326,medicine,20200901,20210208,largegrowth,0.0017519751340234681
33,12,sz000538,medicine,20200901,20210208,largegrowth,0.01951560316210013
34,550,sh601865,electronics,20200901,20210208,largegrowth,0.00026039770081200375
35,16,sz000338,electronics,20200901,20210208,largegrowth,0.018493124621435136
36,14,sz000100,electronics,20200901,20210208,largegrowth,0.003961307339522964
37,375,sz300760,electronics,20200901,20210208,largegrowth,0.003015374000880323
38,439,sh600276,electronics,20200901,20210208,largegrowth,0.4322744458076198
39,483,sh600660,electronics,20200901,20210208,largevalue,0.11317660018677017
40,164,sz002508,electronics,20200901,20210208,largegrowth,0.003577365335869477
41,33,sz000661,electronics,20200901,20210208,largegrowth,0.017741845758716318
42,401,sh600031,electronics,20200901,20210208,largegrowth,0.19585253780774986
43,404,sh600048,electronics,20200901,20210208,largevalue,0.05449981056480751
