,stock_code,style
116,sz300058,smallgrowth
117,sz300567,smallgrowth
118,sz002626,smallgrowth
119,sz002155,smallgrowth
120,sz000921,smallgrowth
121,sh603587,smallgrowth
122,sz300244,smallgrowth
123,sz300451,smallgrowth
124,sz000016,smallgrowth
125,sz000078,smallgrowth
126,sz000517,smallgrowth
127,sz000537,smallgrowth
128,sz002389,smallgrowth
129,sh600093,smallgrowth
130,sh600258,smallgrowth
131,sh600477,smallgrowth
132,sh600737,smallgrowth
133,sh601003,smallgrowth
134,sh603103,smallgrowth
135,sz002503,smallgrowth
136,sz002597,smallgrowth
137,sz300001,smallgrowth
138,sh600338,smallgrowth
139,sh603225,smallgrowth
140,sh600094,smallgrowth
141,sz000034,smallgrowth
142,sz002709,smallgrowth
143,sz002589,smallgrowth
144,sh603888,smallgrowth
145,sz002831,smallgrowth
146,sz002635,smallgrowth
147,sh600645,smallgrowth
148,sz002048,smallgrowth
149,sz000008,smallgrowth
150,sz002002,smallgrowth
151,sz300036,smallgrowth
152,sz300294,smallgrowth
153,sz300324,smallgrowth
154,sh603868,smallgrowth
155,sz002583,smallgrowth
156,sz300118,smallgrowth
157,sh603077,smallgrowth
158,sz002440,smallgrowth
159,sz300271,smallgrowth
160,sz000681,smallgrowth
161,sz002244,smallgrowth
162,sz002138,smallgrowth
163,sz002595,smallgrowth
164,sz300212,smallgrowth
165,sh601311,smallgrowth
0,sh603609,smallvalue
1,sh601958,smallvalue
2,sh601928,smallvalue
3,sh601866,smallvalue
4,sh601860,smallvalue
5,sh601699,smallvalue
6,sh601598,smallvalue
7,sh601098,smallvalue
8,sh600985,smallvalue
9,sh600959,smallvalue
10,sh600820,smallvalue
11,sh600566,smallvalue
12,sh600497,smallvalue
14,sh600376,smallvalue
15,sh600373,smallvalue
16,sh600339,smallvalue
19,sh600166,smallvalue
20,sh600021,smallvalue
21,sh600008,smallvalue
22,sh600007,smallvalue
24,sz002936,smallvalue
25,sz002911,smallvalue
27,sz002020,smallvalue
30,sz000623,smallvalue
31,sz000402,smallvalue
33,sz000060,smallvalue
34,sz000488,smallvalue
38,sz000778,smallvalue
42,sz000983,smallvalue
43,sz002092,smallvalue
45,sz002701,smallvalue
46,sz002807,smallvalue
47,sz002948,smallvalue
48,sh600022,smallvalue
50,sh600575,smallvalue
51,sh600643,smallvalue
54,sh600808,smallvalue
55,sh600901,smallvalue
56,sh601000,smallvalue
57,sh601333,smallvalue
58,sz000028,smallvalue
60,sz000581,smallvalue
61,sz000887,smallvalue
62,sh600060,smallvalue
65,sh600491,smallvalue
69,sh601016,smallvalue
70,sh601952,smallvalue
71,sz000582,smallvalue
72,sh600266,smallvalue
73,sh601128,smallvalue
74,sz002051,smallvalue
75,sh601880,smallvalue
79,sh600126,smallvalue
80,sh600839,smallvalue
82,sh600748,smallvalue
84,sz002737,smallvalue
86,sh600612,smallvalue
88,sh600409,smallvalue
90,sh600500,smallvalue
92,sz000683,smallvalue
93,sh603198,smallvalue
94,sh600141,smallvalue
96,sh601801,smallvalue
97,sh601163,smallvalue
98,sh600312,smallvalue
99,sh600873,smallvalue
100,sz000600,smallvalue
101,sh600273,smallvalue
102,sz002042,smallvalue
104,sh600037,smallvalue
105,sh600827,smallvalue
106,sz000012,smallvalue
107,sz000156,smallvalue
109,sz000598,smallvalue
110,sz000937,smallvalue
111,sz002419,smallvalue
112,sz002839,smallvalue
114,sh600639,smallvalue
115,sh600707,smallvalue
116,sh600717,smallvalue
119,sh600908,smallvalue
120,sz000718,smallvalue
123,sz000591,smallvalue
124,sh601666,smallvalue
125,sz002004,smallvalue
128,sh600754,smallvalue
129,sh603323,smallvalue
131,sz000902,smallvalue
133,sz002251,smallvalue
135,sh600017,smallvalue
136,sh600026,smallvalue
137,sh600252,smallvalue
138,sh600582,smallvalue
139,sh600863,smallvalue
141,sh601222,smallvalue
143,sh600039,smallvalue
144,sh600056,smallvalue
145,sh600277,smallvalue
147,sh600623,smallvalue
148,sh600811,smallvalue
149,sh600835,smallvalue
150,sh600970,smallvalue
152,sz000685,smallvalue
153,sz002091,smallvalue
155,sh600062,smallvalue
156,sh600216,smallvalue
157,sh600823,smallvalue
158,sh601139,smallvalue
159,sh600064,smallvalue
162,sz002128,smallvalue
163,sz000869,smallvalue
165,sh600729,smallvalue
