stock_code,mutual_fund_factor
sh600009,0.0302223641945731
sh600030,0.00046204394551304214
sh600031,0.0004647242539876783
sh600048,0.028470187468230383
sh600060,0.08001916626736943
sh600068,0.03328641590800193
sh600085,0.026416116330909758
sh600100,0.087936627639251
sh600104,0.003348323817550976
sh600114,0.22375868471490176
sh600131,0.27591121444439604
sh600161,0.04124576233490634
sh600171,0.21894846887659541
sh600183,0.023623513525286403
sh600188,0.0661409413408305
sh600195,0.07952269066683598
sh600203,0.45476325303828896
sh600216,0.2713736077468083
sh600271,0.04078587919028742
sh600276,0.005610594383267966
sh600297,0.08261123073992187
sh600309,0.0014022996294199008
sh600346,0.0017685237618155585
sh600360,0.23870714814653482
sh600367,0.32951434047504957
sh600378,0.21797273162869713
sh600380,0.013937209641465801
sh600406,0.009698252413050305
sh600426,0.0049690322809632865
sh600436,0.014616916868953216
sh600438,0.006915666324311926
sh600456,0.1837870801934051
sh600460,0.05351091170449099
sh600480,0.387892309535218
sh600483,0.2056829979236544
sh600498,0.004372304743651173
sh600499,0.10225289205284416
sh600505,1.096571851722786
sh600511,0.018921480802483275
sh600519,0.0005142647778355482
sh600521,0.1184914200007635
sh600529,0.004516375503438275
sh600536,0.026079813813402693
sh600547,0.021111758966868885
sh600562,0.17345036372348305
sh600563,0.21272206371331903
sh600584,0.020676077635828474
sh600585,0.006319953804381223
sh600640,0.16777435998357182
sh600660,0.010211088313627834
sh600667,0.15522280785816955
sh600681,0.4282789563096223
sh600699,0.03097049193419581
sh600703,0.01698857905564224
sh600707,0.11731062421048041
sh600741,0.005264950554493971
sh600745,0.006752044972277373
sh600763,0.016714580994491857
sh600764,0.12795879252515568
sh600808,0.04418377501750764
sh600837,0.033517496219640466
sh600839,0.08308576904647823
sh600863,0.17380319728187482
sh600867,0.05221512840104117
sh600884,0.14036296118830854
sh600885,0.035036946085999776
sh600984,0.05988303958526971
sh601012,0.004197353699579212
sh601058,0.08021437824983582
sh601077,0.44245603664189614
sh601088,0.010262664982358368
sh601117,0.06612362242453278
sh601138,0.030625385036621253
sh601225,0.01995905388334718
sh601231,0.045723934965370014
sh601601,0.01007100230866399
sh601633,0.010678902101997487
sh601658,0.14754850046801488
sh601688,0.001764751180778974
sh601766,0.0035792427015200125
sh601799,0.007985944737262421
sh601818,0.021727577645162754
sh601877,0.015333013895543817
sh601899,0.004965805636624994
sh601916,0.2706449032567474
sh601989,0.01279579265793407
sh603005,0.07549440257873417
sh603013,0.8385241974125539
sh603019,0.013172452846626301
sh603025,0.11577296685106941
sh603026,0.05396929974673147
sh603053,0.34370935724553353
sh603068,0.6513874541845313
sh603083,0.09062050790608528
sh603093,0.5934905916937541
sh603109,10.65330521452515
sh603115,0.9162576567943123
sh603127,0.04614278869190225
